gene_id	SRR6468502	SRR6468503	SRR6468507	SRR6468509	SRR6468516	SRR6468518	SRR6468522	SRR6468525	SRR6468527	SRR6468528	SRR6468529	SRR6468534	SRR6468540	SRR6468541	SRR6468546	SRR6468549	SRR6468555	SRR6468559	SRR6468560	SRR6468565	SRR6468566	SRR6468567	SRR6468568	SRR6468569	SRR6468571	SRR6468572	SRR6468573	SRR6468574	SRR6468575	SRR6468576	SRR6468577	SRR6468578	SRR6468579	SRR6468580	SRR6468581	SRR6468582	SRR6468583	SRR6468584	SRR6468585	SRR6468586	SRR6468587	SRR6468588	SRR6468590	SRR6468591	SRR6468592	SRR6468593	SRR6468594	SRR6468595	SRR6468596	SRR6468597	SRR6468598	SRR6468599	SRR6468600	SRR6468601	SRR6468602	SRR6468603	SRR6468604	SRR6468605	SRR6468606	SRR6468607	SRR6468608	SRR6468609	SRR6468610	SRR6468611	SRR6468612	SRR6468613	SRR6468614	SRR6468615	SRR6468616	SRR6468617	SRR6468618	SRR6468619	SRR6468620	SRR6468621	SRR6468622	SRR6468623	SRR6468624	SRR6468625	SRR6468626	SRR6468627	SRR6468628	SRR6468629	SRR6468630	SRR6468631	SRR6468632	SRR6468633	SRR6468634	SRR6468635	SRR6468636	SRR6468637	SRR6468639	SRR6468640	SRR6468641	SRR6468642	SRR6468643	SRR6468644	SRR6468645	SRR6468646	SRR6468647	SRR6468648	SRR6468649	SRR6468650	SRR6468651	SRR6468652	SRR6468653	SRR6468654	SRR6468655	SRR6468656	SRR6468657	SRR6468658	SRR6468659	SRR6468660	SRR6468661	SRR6468662	SRR6468663	SRR6468664	SRR6468665	SRR6468666	SRR6468667	SRR6468668	SRR6468669	SRR6468670	SRR6468672	SRR6468673	SRR6468674	SRR6468675	SRR6468676	SRR6468677	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468682	SRR6468683	SRR6468684	SRR6468685	SRR6468686	SRR6468687	SRR6468688	SRR6468689	SRR6468690	SRR6468691	SRR6468692	SRR6468693	SRR6468694	SRR6468695	SRR6468696	SRR6468697	SRR6468698	SRR6468699	SRR6468700	SRR6468701	SRR6468702	SRR6468703	SRR6468704	SRR6468705	SRR6468706	SRR6468707	SRR6468708	SRR6468709	SRR6468710	SRR6468711	SRR6468712	SRR6468713	SRR6468714	SRR6468715	SRR6468716	SRR6468717	SRR6468718
UHGG002004_00011	0.444305	0.000000	0.078432	0.000000	0.241267	0.000000	0.085722	0.000000	0.000000	0.569701	0.145266	1.299185	0.195014	0.255964	1.012710	0.907908	0.410597	1.631807	0.080272	1.287091	0.000000	0.000000	0.000000	1.406811	1.772485	0.000000	0.271778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.858228	0.550087	0.317665	0.000000	0.262666	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.270599	0.000000	1.108808	0.000000	0.000000	0.000000	0.000000	0.569339	0.000000	0.222007	0.000000	0.000000	0.000000	0.000000	0.234336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.358641	1.863213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.246662	0.174431	0.000000	0.000000	0.000000	0.000000	0.488645	0.000000	0.303383	0.000000	0.000000	0.000000	0.214046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.624663	0.000000	0.000000	1.524862	0.850274	0.000000	0.000000	0.214746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.155976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.151871	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.331678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174260	0.000000	0.000000	0.000000	0.000000	0.000000	2.005889	0.000000	0.000000	0.000000	0.868617	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.352113	0.000000	0.000000
UHGG002004_00012	1.277193	0.941263	0.805031	0.000000	1.604844	1.017402	0.625212	0.000000	0.000000	1.116392	1.026034	1.746624	0.610473	1.351730	1.026545	1.724890	1.561535	0.638360	0.646564	1.764906	0.000000	0.000000	0.000000	1.011811	1.417134	0.000000	0.106698	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053519	0.000000	0.000000	2.416466	0.000000	0.000000	0.000000	0.000000	0.000000	1.903588	0.000000	1.268490	0.000000	0.000000	0.000000	0.000000	1.123242	0.000000	0.601822	0.428742	0.000000	0.000000	0.000000	0.980031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.354028	1.188355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.329611	0.731480	0.000000	0.000000	0.000000	0.000000	1.399388	0.000000	0.000000	0.000000	0.000000	0.000000	0.430353	0.000000	0.000000	0.000000	0.000000	0.000000	3.623441	1.260085	0.000000	0.000000	1.446198	1.117245	0.000000	0.000000	0.566700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.961263	0.000000	1.150150	0.000000	0.489315	0.000000	0.000000	0.000000	0.000000	0.819561	0.000000	0.196396	0.000000	0.000000	0.000000	0.000000	0.903832	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.502190	0.000000	0.000000	0.000000	0.000000	0.000000	1.755503	0.000000	0.909784	0.000000	1.850091	0.000000	0.000000	0.000000	2.135535	0.000000	0.000000	0.000000	2.427001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.820624	0.000000	2.879896
UHGG163442_00875	2.116561	2.341533	1.809037	0.000000	1.481936	1.539448	1.200635	0.000000	0.000000	2.510002	2.234306	2.208746	1.201489	2.149724	1.771693	1.540259	2.234777	1.118098	1.501897	0.938173	0.855353	0.000000	0.000000	0.713531	1.160035	0.000000	0.399983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.707087	0.796149	0.690120	0.000000	0.466145	0.000000	0.000000	2.251340	0.000000	0.000000	0.000000	0.000000	0.000000	1.010677	0.000000	1.431209	0.000000	0.000000	0.000000	0.000000	2.120093	0.000000	0.975427	0.885213	0.000000	0.000000	0.000000	0.678457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.825780	0.946238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.103892	0.421887	0.000000	0.000000	0.000000	0.000000	1.755648	0.000000	1.451739	0.000000	0.000000	0.000000	0.855216	0.000000	0.000000	0.000000	1.101190	0.000000	1.687615	1.531933	0.000000	0.000000	1.958935	1.457732	0.000000	0.000000	0.410193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.468413	0.000000	1.688023	0.000000	0.434452	0.000000	0.000000	0.000000	0.000000	2.060181	0.000000	0.436767	0.000000	0.000000	0.000000	0.000000	0.799134	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.438940	0.000000	0.000000	0.000000	0.000000	0.000000	1.446998	0.000000	1.596051	0.000000	2.455326	0.000000	0.000000	0.000000	2.106962	0.000000	0.000000	0.000000	2.452545	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.307548	0.690277	4.000000
UHGG002004_00016	3.723028	1.437012	1.259824	0.000000	0.000000	2.310304	1.781351	0.000000	0.000000	3.007171	3.351063	1.314910	1.913890	1.751919	2.980037	1.478508	2.124773	0.141942	2.317150	0.390972	0.000000	0.000000	0.000000	1.073706	1.832511	0.000000	0.213396	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.168094	0.000000	0.092384	0.000000	0.000000	1.781591	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.177584	0.000000	0.000000	0.000000	0.000000	3.598114	0.000000	0.321925	0.000000	0.000000	0.000000	0.000000	0.114672	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.660804	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.082945	0.601616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.260997	0.000000	0.000000	0.000000	1.388493	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173815	0.000000	0.000000	2.828997	0.000000	0.000000	0.000000	0.477467	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.138596	0.000000	3.595918	0.000000	0.723137	0.000000	0.000000	0.000000	0.000000	3.210595	0.000000	0.774636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.887319	0.000000	2.649781	0.000000	4.747828	0.000000	0.000000	0.000000	2.594740	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.486394	0.981955	0.000000
UHGG104729_00197	0.993485	0.230725	1.363408	0.000000	0.813444	0.417219	2.010436	0.203055	1.190142	0.957037	1.610465	0.000000	0.442235	0.261547	0.344717	0.146941	0.296883	0.295504	0.981786	0.000000	0.709532	0.000000	0.000000	1.141393	1.089723	0.000000	0.408434	0.000000	0.000000	0.000000	0.573476	0.000000	1.146534	0.360544	0.000000	0.530744	0.000000	0.184496	0.000000	0.000000	0.440407	0.000000	0.000000	0.000000	0.000000	0.000000	2.811257	0.000000	0.258207	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.436430	1.158998	0.000000	0.000000	0.000000	1.474489	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.171617	0.628294	0.000000	0.000000	0.532357	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.661064	0.964251	0.000000	0.000000	0.000000	0.000000	0.828620	0.000000	0.413448	2.959814	0.000000	0.000000	0.853913	0.000000	0.000000	0.000000	2.062016	0.000000	0.599302	1.452489	0.000000	0.000000	0.000000	0.142411	0.000000	0.000000	0.305411	0.528165	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.686559	0.000000	0.000000	0.000000	0.908261	0.000000	0.000000	0.093181	0.000000	1.290045	0.000000	0.000000	0.302698	0.000000	0.968663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.937816	0.000000	0.000000	0.000000	1.117619	0.000000	0.000000	0.000000	0.507685	0.000000	0.000000	0.000000	0.587180	0.000000	0.000000	0.000000	0.000000	0.455700	0.000000	0.325983	0.736622	1.000000
UHGG002004_00118	1.434221	1.588468	0.982599	0.626522	1.615175	1.654613	0.180864	2.241871	0.726019	1.481373	1.121397	1.316605	1.154547	1.231447	0.823883	1.317595	1.884397	1.394240	0.469581	0.751385	3.576988	0.000000	0.000000	0.422970	1.544371	0.000000	2.787061	0.000000	0.000000	0.000000	2.111400	0.000000	0.298295	1.283210	1.727685	2.224125	0.000000	2.733184	0.000000	0.000000	1.912101	0.000000	0.000000	0.000000	0.000000	0.000000	0.217771	0.000000	1.730404	0.000000	0.000000	0.000000	0.000000	1.158911	0.000000	0.333394	1.966974	0.000000	0.000000	0.000000	0.312676	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.038543	1.758006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.048742	1.158421	0.000000	0.000000	0.000000	0.000000	1.881827	0.000000	2.200212	0.000000	0.000000	0.000000	0.845908	0.000000	0.000000	0.000000	5.719008	0.000000	2.603124	2.829706	0.000000	0.000000	0.928812	0.000000	0.000000	0.000000	1.590876	2.221145	0.000000	0.000000	0.000000	0.000000	0.000000	1.535067	0.000000	1.213407	0.000000	0.424161	0.000000	0.434416	0.000000	0.000000	2.177488	0.000000	1.874748	0.000000	0.000000	0.182141	0.000000	0.923413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.755245	0.000000	0.000000	0.000000	0.000000	0.000000	0.479889	0.000000	1.936164	0.000000	2.660707	0.000000	0.000000	0.000000	2.187479	0.000000	0.000000	0.947917	2.297435	0.000000	0.000000	0.000000	0.000000	1.627428	0.000000	3.983047	0.491880	2.452247
UHGG002198_00401	0.534416	0.000000	0.998256	1.500577	0.000000	0.000000	0.716446	0.268232	0.217492	0.000000	0.534295	1.069053	0.148488	0.914643	0.092744	1.181416	0.070714	0.000000	1.146928	0.735162	0.000000	0.000000	0.000000	0.502759	0.909534	0.000000	0.300503	0.000000	0.000000	0.000000	0.000000	0.000000	0.709349	0.360544	0.000000	0.562657	0.000000	0.091190	0.000000	0.000000	1.221764	0.000000	0.000000	0.000000	0.000000	0.000000	1.451605	0.000000	0.347479	0.000000	0.000000	0.000000	0.000000	1.096424	0.000000	0.632155	0.000000	0.000000	0.000000	0.000000	1.465298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.566493	0.881012	0.000000	0.000000	0.883682	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.444037	0.000000	0.000000	0.000000	0.000000	0.488645	0.000000	0.000000	0.000000	0.000000	0.000000	1.812793	0.000000	0.000000	0.000000	3.989583	0.000000	1.744737	0.000000	0.000000	0.000000	0.105409	1.179524	0.000000	0.000000	0.607337	0.260468	0.000000	0.000000	0.000000	0.000000	0.000000	1.023288	0.000000	0.000000	0.000000	1.052487	0.000000	1.160153	0.000000	0.000000	1.245641	0.000000	0.635153	0.000000	0.000000	1.280364	0.000000	1.496334	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.120838	0.000000	0.860457	0.000000	0.000000	0.000000	0.534760	0.000000	0.000000	1.322795	4.437490	0.000000	0.000000	0.000000	0.000000	2.157670	0.000000	0.390032	1.333787	0.000000
UHGG002004_00185	0.193557	0.623537	0.553106	0.970205	1.341156	0.687758	1.135011	1.101616	0.895179	1.103427	0.403053	0.707700	0.655092	1.295113	0.357967	1.085822	0.440967	0.508324	1.513746	0.097743	1.396531	0.000000	0.000000	0.902670	0.000000	0.000000	1.246056	0.000000	0.000000	0.000000	1.026012	0.000000	1.606010	1.118394	0.686236	1.211219	0.000000	0.836653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.257706	0.000000	0.153874	0.000000	0.000000	0.000000	0.000000	1.974561	0.000000	0.839220	0.441950	0.000000	0.000000	0.000000	0.261234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.873074	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.663233	0.964739	0.000000	0.000000	0.000000	0.000000	1.059399	0.000000	2.048124	1.186231	0.000000	0.000000	1.373892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.131124	0.000000	0.000000	1.183745	1.358808	0.000000	0.000000	0.784553	1.181425	0.000000	0.000000	0.000000	0.000000	0.000000	2.031559	0.000000	0.785820	0.000000	0.839617	0.000000	0.339457	0.000000	0.000000	1.832917	0.000000	1.013666	0.000000	0.000000	1.215455	0.000000	1.772510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.682641	0.000000	0.000000	0.000000	0.000000	0.000000	0.915050	0.000000	1.522078	0.000000	0.994475	0.000000	0.000000	0.000000	1.108334	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.030062	0.000000	1.104396
UHGG202205_00562	1.366842	0.238075	0.000000	0.000000	0.523249	0.162589	0.716548	0.356063	0.042024	0.184710	0.346622	0.137096	0.471200	0.000000	0.092744	0.073470	0.299058	0.097118	1.070435	0.000000	1.091161	0.000000	0.000000	0.000000	0.366291	0.000000	0.179838	0.000000	0.000000	0.000000	0.151563	0.000000	1.768475	0.611092	0.000000	0.436217	0.000000	0.246734	0.000000	0.000000	0.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.118930	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.373364	0.000000	0.000000	0.240670	0.000000	0.000000	0.000000	0.197026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.370993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.337433	0.000000	0.000000	0.000000	0.000000	0.000000	1.387756	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.236847	0.000000	0.000000	0.104345	0.000000	0.000000	0.000000	0.000000	0.335834	0.000000	0.000000	0.000000	0.000000	0.000000	0.852787	0.000000	0.872231	0.000000	0.294460	0.000000	0.036991	0.000000	0.000000	0.093181	0.000000	0.447920	0.000000	0.000000	0.000000	0.000000	1.080735	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.451189	0.000000	0.817286	0.000000	0.000000	0.000000	0.000000	0.000000	0.605786	0.000000	0.000000	0.296858	0.000000	0.000000	0.000000	0.000000	0.000000	0.107419	0.000000	0.407577	0.322314	2.000000
UHGG002004_00191	1.892225	0.768900	0.000000	0.000000	0.928429	0.733910	1.634380	1.335770	0.027035	0.685018	0.000000	0.000000	1.262877	0.000000	0.000000	0.000000	0.715795	0.849448	0.000000	0.000000	0.946547	0.000000	0.000000	0.000000	0.000000	0.000000	0.765082	0.000000	0.000000	0.000000	0.973252	0.000000	1.652009	1.022056	1.922202	1.153659	0.000000	1.042661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.078121	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.742677	0.000000	0.000000	0.935913	0.000000	0.000000	0.000000	1.353542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.045423	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.958400	0.000000	0.000000	0.000000	0.000000	0.000000	1.320742	0.000000	1.162388	0.000000	0.000000	0.000000	1.812522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.968370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.815896	0.000000	0.000000	0.000000	0.000000	0.000000	1.658605	0.000000	0.000000	0.000000	1.140313	0.000000	0.000000	0.000000	0.000000	1.792227	0.000000	0.326136	0.000000	0.000000	0.000000	0.000000	0.088435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.147603	0.000000	1.454109	0.000000	0.000000	0.000000	0.000000	0.000000	0.796414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.275063	0.000000	0.000000
